Category_ID,Category_Name,URL,Primary_Keyword,Secondary_Keywords,Current_Title_Tag,Optimized_Title_Tag,Current_Meta_Description,Optimized_Meta_Description,H1_Tag,Product_Count,Internal_Links,External_Links,Page_Load_Speed,Mobile_Usability_Score,Organic_Traffic,Average_Position,CTR,Conversion_Rate,Revenue_Last_30_Days,Optimization_Priority,Status,Last_Updated,Notes
CAT001,Wireless Headphones,/category/wireless-headphones,wireless headphones,"bluetooth headphones, noise cancelling headphones, wireless earbuds",Wireless Headphones | TechStore,Best Wireless Headphones 2025 | Bluetooth & Noise Cancelling | TechStore,Shop our collection of wireless headphones with fast shipping and great prices.,Discover premium wireless headphones with Bluetooth 5.0 and noise cancelling technology. Free shipping on orders over $50. Shop now!,Wireless Headphones,247,15,3,2.8s,94,3450,8.2,4.2%,3.8%,"$28,450",High,Optimized,2025-05-15,Added product filters and improved navigation
CAT002,Smart Watches,/category/smart-watches,smart watches,"fitness trackers, apple watch, smartwatch bands",Smart Watches - TechStore,Smart Watches & Fitness Trackers 2025 | Apple Watch & More | TechStore,Browse smart watches and fitness trackers from top brands.,Find the perfect smart watch for fitness tracking and notifications. Compare Apple Watch and Android options with expert reviews.,Smart Watches & Fitness Trackers,186,12,2,3.2s,91,2890,12.5,3.1%,4.2%,"$35,600",Medium,In Progress,2025-04-20,Need to add size guide and compatibility checker
CAT003,Laptop Accessories,/category/laptop-accessories,laptop accessories,"laptop cases, laptop stands, laptop bags",Laptop Accessories,Premium Laptop Accessories | Cases Stands & Bags | TechStore,Shop laptop accessories including cases stands and bags for all laptop sizes,Protect and enhance your laptop with premium accessories. Cases stands bags and more with fast shipping and 30-day returns.,Laptop Accessories & Cases,89,8,1,2.5s,96,1650,15.8,2.8%,2.9%,"$12,300",Low,To Do,2025-03-10,Low traffic category - consider consolidating
CAT004,Gaming Keyboards,/category/gaming-keyboards,gaming keyboards,"mechanical keyboards, rgb keyboards, wireless gaming keyboards",Gaming Keyboards - TechStore,Gaming Keyboards 2025 | Mechanical RGB & Wireless | TechStore,Find the perfect gaming keyboard for competitive gaming and productivity.,Dominate your games with premium mechanical keyboards featuring RGB lighting and wireless connectivity. Free shipping available.,Gaming Keyboards,134,18,5,2.1s,98,4200,6.8,5.1%,5.2%,"$42,800",High,Optimized,2025-05-28,Top performing category - consider expanding product range
CAT005,Phone Cases,/category/phone-cases,phone cases,"iphone cases, samsung cases, phone screen protectors",Phone Cases & Accessories,Phone Cases & Screen Protectors 2025 | iPhone Samsung & More | TechStore,Protect your phone with cases and screen protectors from top brands,Keep your phone safe with premium cases and screen protectors. Compatible with iPhone Samsung and all major brands.,Phone Cases & Screen Protectors,312,22,4,3.5s,89,2980,10.4,3.9%,6.1%,"$18,200",Medium,In Progress,2025-04-15,High conversion rate - optimize for speed
CAT006,Bluetooth Speakers,/category/bluetooth-speakers,bluetooth speakers,"portable speakers, waterproof speakers, wireless speakers",Bluetooth Speakers,Bluetooth Speakers 2025 | Portable Waterproof & Wireless | TechStore,Shop Bluetooth speakers with great sound quality and portable designs,Experience premium sound anywhere with our waterproof and portable Bluetooth speakers. Compare top brands and find your perfect speaker.,Bluetooth & Wireless Speakers,98,14,3,2.9s,92,1890,18.2,2.4%,3.1%,"$15,700",Medium,To Do,2025-02-28,Need to improve product descriptions and add comparison tool
CAT007,Tablets,/category/tablets,tablets,"ipad, android tablets, tablet accessories",Tablets - TechStore,Tablets 2025 | iPad Android & Windows Tablets | TechStore,Browse tablets from Apple Samsung and Microsoft with competitive pricing,Find the perfect tablet for work play and creativity. Compare iPad Android and Windows tablets with expert reviews and best prices.,Tablets & E-Readers,76,11,2,4.1s,87,5600,5.2,4.8%,4.5%,"$67,400",High,To Do,2025-01-20,High value category but slow loading - priority optimization needed
CAT008,Charging Cables,/category/charging-cables,charging cables,"usb c cables, lightning cables, wireless chargers",Charging Cables,USB-C Lightning & Wireless Charging Cables 2025 | TechStore,Shop charging cables and wireless chargers for all your devices,Keep your devices powered with premium charging cables and wireless chargers. USB-C Lightning and universal options available.,Charging Cables & Wireless Chargers,156,19,2,2.3s,95,2120,14.7,3.3%,7.8%,"$16,500",Medium,Optimized,2025-05-10,Good conversion rate - high demand accessories
CAT009,Computer Monitors,/category/computer-monitors,computer monitors,"gaming monitors, 4k monitors, ultrawide monitors",Computer Monitors - TechStore,Computer Monitors 2025 | Gaming 4K & Ultrawide Displays | TechStore,Shop computer monitors for gaming productivity and entertainment,Upgrade your setup with premium computer monitors. Gaming 4K and ultrawide options with fast refresh rates and stunning visuals.,Computer Monitors & Displays,67,13,4,3.8s,90,3200,9.1,3.7%,3.9%,"$45,600",High,In Progress,2025-04-25,High AOV category - focus on technical specs and comparisons
CAT010,Power Banks,/category/power-banks,power banks,"portable chargers, wireless power banks, fast charging power banks",Power Banks,Portable Power Banks 2025 | Fast Charging & Wireless | TechStore,Keep your devices charged with portable power banks and wireless chargers,Never run out of power with our premium portable chargers. Fast charging wireless options and high capacity power banks available.,Power Banks & Portable Chargers,89,16,1,2.7s,93,1450,19.5,2.6%,5.4%,"$8,900",Low,To Do,2025-03-05,Seasonal demand - optimize for travel keywords
